,rank,learning_rate,Train Loss,Train Perplexity,Validation Loss,Validation Perplexity,Estimated Flops
0,2,1e-05,3.4541006088256836,31.629828297268073,1.1396147807439168,3.1255641057694246,597788983296000
1,2,5e-05,2.0269434452056885,7.590849017810006,0.8949432961146037,2.4471970199486015,597788983296000
2,2,0.0001,0.8951035141944885,2.4475891365674847,0.819749770561854,2.269931762711235,597788983296000
3,4,1e-05,0.9728270769119263,2.6454126828772213,1.0172633028030396,2.765615745097238,598317465600000
4,4,5e-05,0.8044393658638,2.2354428818534977,0.8512822182973226,2.3426487140387913,598317465600000
5,4,0.0001,0.936562716960907,2.5511971432882463,0.7865853846073151,2.1958855056530666,598317465600000
6,8,1e-05,0.8471930623054504,2.333088817288539,0.9450889635086059,2.5730422752750486,599374430208000
7,8,5e-05,0.666284441947937,1.9469897112183667,0.8080133501688639,2.243446613714589,599374430208000
8,8,0.0001,0.7084087133407593,2.03075716935587,0.7465923774242401,2.1097983568011993,599374430208000
